#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	cdsStartStat	cdsEndStat	exonFrames	type	geneName	geneName2	geneType	dbName	annotationType	position	longName	syns	subCellLoc	comments	uniProtId	pmids
NC_045512v2	265	805	nsp1	1000	+	265	805	12,12,120	1	540	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-180 on protein P0DTC1	Non-structural protein 1			Inhibits host translation by interacting with the 40S ribosomal subunit. The nsp1-40S ribosome complex further induces an endonucleolytic cleavage near the 5'UTR of host mRNAs, targeting them for degradation. Viral mRNAs are not susceptible to nsp1-mediated endonucleolytic RNA cleavage thanks to the presence of a 5'-end leader sequence and are therefore protected from degradation. By suppressing host gene expression, nsp1 facilitates efficient viral gene expression in infected cells and evasion from host immune response.	P0DTC1	
NC_045512v2	265	21552	pp1ab	1000	+	265	21552	12,12,120	2	13200,8085	0,13202		cmpl	cmpl	0,0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-7096 on protein P0DTD1	Replicase polyprotein 1ab	pp1ab; ORF1a-1b; ORF1ab polyprotein; Replicase polyprotein 1a; Replicase polyprotein 1ab		Multifunctional protein involved in the transcription and replication of viral RNAs. Contains the proteinases responsible for the cleavages of the polyprotein.	P0DTD1	
NC_045512v2	265	13480	pp1a	1000	+	265	13480	12,12,120	1	13215	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-4405 on protein P0DTC1	Replicase polyprotein 1a	pp1a; ORF1a polyprotein; Replicase polyprotein 1a; Replicase polyprotein 1ab		Multifunctional protein involved in the transcription and replication of viral RNAs. Contains the proteinases responsible for the cleavages of the polyprotein.	P0DTC1	
NC_045512v2	805	2719	nsp2	1000	+	805	2719	12,12,120	1	1914	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 181-818 on protein P0DTC1	Non-structural protein 2			May play a role in the modulation of host cell survival signaling pathway by interacting with host PHB and PHB2. Indeed, these two proteins play a role in maintaining the functional integrity of the mitochondria and protecting cells from various stresses.	P0DTC1	
NC_045512v2	2719	8554	nsp3	1000	+	2719	8554	12,12,120	1	5835	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 819-2763 on protein P0DTC1	Non-structural protein 3			Responsible for the cleavages located at the N-terminus of the replicase polyprotein. In addition, PL-PRO possesses a deubiquitinating/deISGylating activity and processes both 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains from cellular substrates. Participates together with nsp4 in the assembly of virally-induced cytoplasmic double-membrane vesicles necessary for viral replication. Antagonizes innate immune induction of type I interferon by blocking the phosphorylation, dimerization and subsequent nuclear translocation of host IRF3. Prevents also host NF-kappa-B signaling.	P0DTC1	
NC_045512v2	8554	10054	nsp4	1000	+	8554	10054	12,12,120	1	1500	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 2764-3263 on protein P0DTC1	Non-structural protein 4			Participates in the assembly of virally-induced cytoplasmic double-membrane vesicles necessary for viral replication.	P0DTC1	
NC_045512v2	10054	10972	3CL-PRO	1000	+	10054	10972	12,12,120	1	918	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 3264-3569 on protein P0DTC1	3C-like proteinase			Cleaves the C-terminus of replicase polyprotein at 11 sites (By similarity) (PubMed:32198291, PubMed:32272481). Recognizes substrates containing the core sequence [ILMVF]-Q-|-[SGACN]. Also able to bind an ADP-ribose-1''-phosphate (ADRP) (By similarity).	P0DTC1	
NC_045512v2	10972	11842	nsp6	1000	+	10972	11842	12,12,120	1	870	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 3570-3859 on protein P0DTC1	Non-structural protein 6			Plays a role in the initial induction of autophagosomes from host reticulum endoplasmic. Later, limits the expansion of these phagosomes that are no longer able to deliver viral components to lysosomes.	P0DTC1	
NC_045512v2	11842	12091	nsp7	1000	+	11842	12091	12,12,120	1	249	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 3860-3942 on protein P0DTD1	Non-structural protein 7			Plays a role in viral RNA synthesis (PubMed:32358203, PubMed:32277040). Forms a hexadecamer with nsp8 (8 subunits of each) that may participate in viral replication by acting as a primase. Alternatively, may synthesize substantially longer products than oligonucleotide primers (By similarity).	P0DTD1	
NC_045512v2	11842	12091	nsp7	1000	+	11842	12091	12,12,120	1	249	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 3860-3942 on protein P0DTC1	Non-structural protein 7			Forms a hexadecamer with nsp8 (8 subunits of each) that may participate in viral replication by acting as a primase. Alternatively, may synthesize substantially longer products than oligonucleotide primers.	P0DTC1	
